state,current_week_mean,current_week_per_million,last_week_mean,last_week_mean_2,last_week_per_million,last_week_cases_per_million,last_week_cases_mean_2,last_week_cases_mean,current_week_cases_mean,current_week_cases_per_million,p_value_cases_current_last,p_value_cases_last_last2,p_value_death_current_last,p_value_death_last_last2,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million
Alabama,8.857142857142858,1.8,8.0,14.857142857142858,1.6,67.4,293.57142857142856,330.42857142857144,445.14285714285717,90.8,0.509,0.499,0.41900000000000004,0.45599999999999996,16032,583,3269.711422269402,118.90230533826482
Alaska,0.0,0.0,0.0,0.0,0.0,2.9,2.0,2.142857142857143,4.0,5.5,0.481,0.498,1.0,1.0,417,8,570.0264508676842,10.935759249260128
Arizona,13.428571428571429,1.8,19.857142857142858,24.857142857142858,2.7,51.8,389.85714285714283,377.2857142857143,349.7142857142857,48.0,0.45499999999999996,0.46299999999999997,0.16600000000000004,0.28400000000000003,17262,831,2371.571803107608,114.16847227334158
Arkansas,2.142857142857143,0.7,1.7142857142857142,1.4285714285714286,0.6,51.7,96.0,156.0,154.28571428571428,51.1,0.488,0.497,0.379,0.374,6277,120,2079.989290225608,39.764013832574946
California,59.714285714285715,1.5,83.57142857142857,68.28571428571429,2.1,49.0,1780.857142857143,1934.4285714285713,2226.1428571428573,56.3,0.45699999999999996,0.45499999999999996,0.133,0.08099999999999996,101874,3961,2578.2907734652135,100.2474601340451
Colorado,16.0,2.8,31.285714285714285,21.285714285714285,5.4,58.2,364.14285714285717,335.42857142857144,279.2857142857143,48.5,0.405,0.42800000000000005,0.06000000000000005,0.029000000000000026,24775,1393,4302.159362749047,241.8933599317628
Connecticut,34.857142857142854,9.8,51.857142857142854,60.285714285714285,14.5,150.0,525.7142857142857,534.8571428571429,335.85714285714283,94.2,0.43300000000000005,0.43400000000000005,0.026000000000000023,0.08999999999999997,41288,3803,11580.554384541834,1066.6742957860054
Delaware,4.0,4.1,8.142857142857142,8.285714285714286,8.4,170.6,183.42857142857142,166.14285714285714,112.14285714285714,115.2,0.45699999999999996,0.43899999999999995,0.018000000000000016,0.030000000000000027,9096,344,9341.072374825933,353.26834838831587
District of Columbia,5.857142857142857,8.3,7.714285714285714,10.428571428571429,10.9,212.9,154.57142857142858,150.28571428571428,100.57142857142857,142.5,0.495,0.45799999999999996,0.09699999999999998,0.243,8406,445,11910.7501392138,630.5357853854558
Florida,31.428571428571427,1.5,38.42857142857143,39.285714285714285,1.8,36.3,626.0,780.7142857142857,658.5714285714286,30.7,0.478,0.43400000000000005,0.255,0.255,52626,2318,2450.2581440493473,107.92570930540774
