state,date,new_deaths,new_cases,seven_rolling_deaths,seven_rolling_cases,population
Washington,2020-01-22,0,0,0.0,0.0,7614893
Washington,2020-01-23,0,0,0.0,0.0,7614893
Washington,2020-01-24,0,0,0.0,0.0,7614893
Illinois,2020-01-25,0,0,0.0,0.0,12671821
Washington,2020-01-25,0,0,0.0,0.0,7614893
Illinois,2020-01-26,0,0,0.0,0.0,12671821
California,2020-01-26,0,1,0.0,0.14285714285714285,39512223
Washington,2020-01-26,0,0,0.0,0.125,7614893
Arizona,2020-01-27,0,0,0.0,0.125,7278717
Illinois,2020-01-27,0,0,0.0,0.125,12671821
California,2020-01-27,0,0,0.0,0.125,39512223
Washington,2020-01-27,0,0,0.0,0.125,7614893
Arizona,2020-01-28,0,0,0.0,0.125,7278717
Illinois,2020-01-28,0,0,0.0,0.125,12671821
California,2020-01-28,0,0,0.0,0.0,39512223
Washington,2020-01-28,0,0,0.0,0.0,7614893
Arizona,2020-01-29,0,0,0.0,0.0,7278717
Illinois,2020-01-29,0,0,0.0,0.0,12671821
California,2020-01-29,0,0,0.0,0.0,39512223
Washington,2020-01-29,0,0,0.0,0.0,7614893
Arizona,2020-01-30,0,0,0.0,0.0,7278717
Illinois,2020-01-30,0,1,0.0,0.125,12671821
California,2020-01-30,0,0,0.0,0.125,39512223
Washington,2020-01-30,0,0,0.0,0.125,7614893
Arizona,2020-01-31,0,0,0.0,0.125,7278717
Illinois,2020-01-31,0,0,0.0,0.125,12671821
California,2020-01-31,0,1,0.0,0.25,39512223
Washington,2020-01-31,0,0,0.0,0.25,7614893
Arizona,2020-02-01,0,0,0.0,0.25,7278717
Illinois,2020-02-01,0,0,0.0,0.125,12671821
California,2020-02-01,0,0,0.0,0.125,39512223
Washington,2020-02-01,0,0,0.0,0.125,7614893
Arizona,2020-02-02,0,0,0.0,0.125,7278717
Illinois,2020-02-02,0,0,0.0,0.125,12671821
California,2020-02-02,0,3,0.0,0.375,39512223
Washington,2020-02-02,0,0,0.0,0.375,7614893
Massachusetts,2020-02-02,0,0,0.0,0.375,6892503
Arizona,2020-02-03,0,0,0.0,0.375,7278717
Illinois,2020-02-03,0,0,0.0,0.375,12671821
California,2020-02-03,0,0,0.0,0.375,39512223
Washington,2020-02-03,0,0,0.0,0.375,7614893
Massachusetts,2020-02-03,0,0,0.0,0.375,6892503
Arizona,2020-02-04,0,0,0.0,0.0,7278717
Illinois,2020-02-04,0,0,0.0,0.0,12671821
California,2020-02-04,0,0,0.0,0.0,39512223
Washington,2020-02-04,0,0,0.0,0.0,7614893
