date,state,county,cases,rank
2020-01-19,Illinois,Cook,0,1
2020-01-19,Washington,Snohomish,0,3
2020-01-26,Arizona,Maricopa,0,1
2020-01-26,Illinois,Cook,1,1
2020-01-26,California,Los Angeles,0,1
2020-01-26,California,other,0,100
2020-01-26,Washington,Snohomish,0,3
2020-02-02,Arizona,Maricopa,0,1
2020-02-02,Illinois,Cook,0,1
2020-02-02,Wisconsin,other,0,100
2020-02-02,California,Los Angeles,0,1
2020-02-02,California,other,1,100
2020-02-02,Washington,Snohomish,0,3
2020-02-02,Massachusetts,Suffolk,0,2
2020-02-09,Texas,other,1,5
2020-02-09,Arizona,Maricopa,0,1
2020-02-09,Illinois,Cook,0,1
2020-02-09,Wisconsin,other,0,100
2020-02-09,California,Los Angeles,0,1
2020-02-09,California,other,0,100
2020-02-09,Washington,Snohomish,0,3
2020-02-09,Massachusetts,Suffolk,0,2
2020-02-16,Texas,other,2,5
2020-02-16,Arizona,Maricopa,0,1
2020-02-16,Illinois,Cook,0,1
2020-02-16,Nebraska,Douglas,1,1
2020-02-16,Wisconsin,other,0,100
2020-02-16,California,other,0,100
2020-02-16,California,Los Angeles,0,1
2020-02-16,Washington,Snohomish,0,3
2020-02-16,Massachusetts,Suffolk,0,2
2020-02-23,Utah,Salt Lake,0,1
2020-02-23,Texas,other,7,5
2020-02-23,Oregon,Washington,0,3
2020-02-23,Arizona,Maricopa,0,1
2020-02-23,Illinois,Cook,1,1
2020-02-23,Nebraska,Douglas,2,1
2020-02-23,Wisconsin,other,0,100
2020-02-23,California,other,15,100
2020-02-23,California,Los Angeles,0,1
2020-02-23,Washington,King,3,1
2020-02-23,Washington,Snohomish,1,3
2020-02-23,Washington,other,0,100
2020-02-23,Massachusetts,Suffolk,0,2
2020-03-01,Utah,other,0,100
2020-03-01,Utah,Salt Lake,0,1
2020-03-01,Texas,other,2,100
2020-03-01,Texas,Harris,1,1
2020-03-01,Texas,other,0,5
2020-03-01,Hawaii,Honolulu,0,1
2020-03-01,Nevada,Clark,0,1
2020-03-01,Nevada,Washoe,0,2
2020-03-01,Oregon,Washington,2,3
2020-03-01,Arizona,Maricopa,1,1
2020-03-01,Arizona,other,2,100
2020-03-01,Florida,other,3,100
2020-03-01,Florida,Broward,0,2
2020-03-01,Georgia,Fulton,2,2
2020-03-01,Georgia,other,0,100
2020-03-01,Indiana,Marion,0,1
2020-03-01,Colorado,Denver,0,1
2020-03-01,Colorado,other,2,100
2020-03-01,Colorado,other,0,6
2020-03-01,Colorado,other,0,5
2020-03-01,Illinois,Cook,3,1
2020-03-01,Kentucky,Fayette,0,3
2020-03-01,Maryland,Montgomery,0,2
2020-03-01,Nebraska,Douglas,1,1
2020-03-01,New York,other,63,100
2020-03-01,New York,New York City,11,1
2020-03-01,Oklahoma,Tulsa,0,2
2020-03-01,Minnesota,Ramsey,0,2
2020-03-01,Tennessee,other,0,100
2020-03-01,Wisconsin,other,0,100
2020-03-01,California,other,50,100
2020-03-01,California,Los Angeles,13,1
2020-03-01,New Jersey,Bergen,2,1
2020-03-01,New Jersey,other,0,10
2020-03-01,Washington,other,0,100
2020-03-01,Washington,King,68,1
