date,state,county,deaths,rank
2020-01-19,Illinois,Cook,0,1
2020-01-19,Washington,Snohomish,0,2
2020-01-26,Arizona,Maricopa,0,1
2020-01-26,Illinois,Cook,0,1
2020-01-26,California,Los Angeles,0,1
2020-01-26,California,other,0,100
2020-01-26,Washington,Snohomish,0,2
2020-02-02,Arizona,Maricopa,0,1
2020-02-02,Illinois,Cook,0,1
2020-02-02,Wisconsin,other,0,100
2020-02-02,California,Los Angeles,0,1
2020-02-02,California,other,0,100
2020-02-02,Washington,Snohomish,0,2
2020-02-02,Massachusetts,Suffolk,0,3
2020-02-09,Texas,other,0,5
2020-02-09,Arizona,Maricopa,0,1
2020-02-09,Illinois,Cook,0,1
2020-02-09,Wisconsin,other,0,100
2020-02-09,California,Los Angeles,0,1
2020-02-09,California,other,0,100
2020-02-09,Washington,Snohomish,0,2
2020-02-09,Massachusetts,Suffolk,0,3
2020-02-16,Texas,other,0,5
2020-02-16,Arizona,Maricopa,0,1
2020-02-16,Illinois,Cook,0,1
2020-02-16,Nebraska,Douglas,0,2
2020-02-16,Wisconsin,other,0,100
2020-02-16,California,other,0,100
2020-02-16,California,Los Angeles,0,1
2020-02-16,Washington,Snohomish,0,2
2020-02-16,Massachusetts,Suffolk,0,3
2020-02-23,Utah,Salt Lake,0,1
2020-02-23,Texas,other,0,5
2020-02-23,Oregon,Washington,0,3
2020-02-23,Arizona,Maricopa,0,1
2020-02-23,Illinois,Cook,0,1
2020-02-23,Nebraska,Douglas,0,2
2020-02-23,Wisconsin,other,0,100
2020-02-23,California,other,0,100
2020-02-23,California,Los Angeles,0,1
2020-02-23,Washington,King,1,1
2020-02-23,Washington,Snohomish,0,2
2020-02-23,Washington,other,0,100
2020-02-23,Massachusetts,Suffolk,0,3
2020-03-01,Utah,other,0,100
2020-03-01,Utah,Salt Lake,0,1
2020-03-01,Texas,other,0,100
2020-03-01,Texas,Harris,0,1
2020-03-01,Texas,other,0,5
2020-03-01,Hawaii,Honolulu,0,1
2020-03-01,Nevada,Clark,0,1
2020-03-01,Nevada,other,0,100
2020-03-01,Oregon,Washington,0,3
2020-03-01,Arizona,Maricopa,0,1
2020-03-01,Arizona,other,0,100
2020-03-01,Florida,other,1,100
2020-03-01,Florida,Broward,0,3
2020-03-01,Georgia,Fulton,0,1
2020-03-01,Georgia,other,0,100
2020-03-01,Indiana,Marion,0,1
2020-03-01,Colorado,Denver,0,1
2020-03-01,Colorado,other,0,100
2020-03-01,Colorado,other,0,6
2020-03-01,Colorado,Jefferson,0,3
2020-03-01,Illinois,Cook,0,1
2020-03-01,Kentucky,other,0,100
2020-03-01,Maryland,Montgomery,0,1
2020-03-01,Nebraska,Douglas,0,2
2020-03-01,New York,New York City,0,1
2020-03-01,New York,other,0,100
2020-03-01,Oklahoma,Tulsa,0,2
2020-03-01,Minnesota,other,0,100
2020-03-01,Tennessee,other,0,100
2020-03-01,Wisconsin,other,0,100
2020-03-01,California,other,1,100
2020-03-01,California,Los Angeles,0,1
2020-03-01,New Jersey,Bergen,0,2
2020-03-01,New Jersey,other,0,100
2020-03-01,Washington,other,0,100
2020-03-01,Washington,King,15,1
2020-03-01,Washington,Snohomish,0,2
2020-03-01,Pennsylvania,Delaware,0,3
2020-03-01,Pennsylvania,other,0,100
2020-03-01,Rhode Island,Unknown,0,2
2020-03-01,Massachusetts,Middlesex,0,1
2020-03-01,Massachusetts,other,0,4
2020-03-01,Massachusetts,Suffolk,0,3
2020-03-01,New Hampshire,other,0,100
2020-03-01,North Carolina,other,0,6
2020-03-01,North Carolina,other,0,8
2020-03-01,South Carolina,other,0,100
2020-03-01,South Carolina,other,0,10
2020-03-08,Iowa,other,0,100
2020-03-08,Ohio,Cuyahoga,0,3
2020-03-08,Ohio,other,0,7
2020-03-08,Ohio,other,0,100
2020-03-08,Utah,other,0,100
2020-03-08,Utah,Salt Lake,0,1
2020-03-08,Idaho,Ada,0,1
2020-03-08,Maine,other,0,100
2020-03-08,Maine,Cumberland,0,1
2020-03-08,Texas,other,0,6
2020-03-08,Texas,other,0,100
2020-03-08,Texas,Tarrant,0,3
2020-03-08,Texas,other,0,4
2020-03-08,Texas,Harris,0,1
2020-03-08,Texas,other,0,5
2020-03-08,Texas,Dallas,0,2
2020-03-08,Alaska,Anchorage,0,1
2020-03-08,Hawaii,Honolulu,0,1
2020-03-08,Kansas,other,0,100
2020-03-08,Kansas,Johnson,0,2
2020-03-08,Kansas,Wyandotte,0,1
2020-03-08,Nevada,Clark,0,1
2020-03-08,Nevada,other,0,100
2020-03-08,Oregon,other,0,100
2020-03-08,Oregon,Marion,0,2
2020-03-08,Oregon,Multnomah,1,1
2020-03-08,Oregon,Washington,0,3
2020-03-08,Alabama,other,0,100
2020-03-08,Alabama,Jefferson,0,2
2020-03-08,Alabama,other,0,4
2020-03-08,Arizona,Maricopa,0,1
2020-03-08,Arizona,Pima,0,2
2020-03-08,Arizona,other,0,100
2020-03-08,Florida,other,1,100
2020-03-08,Florida,Miami-Dade,0,1
2020-03-08,Florida,Palm Beach,0,2
2020-03-08,Florida,Broward,0,3
2020-03-08,Georgia,other,0,100
2020-03-08,Georgia,Cobb,1,2
2020-03-08,Georgia,other,0,5
2020-03-08,Georgia,Fulton,0,1
2020-03-08,Georgia,other,0,4
2020-03-08,Indiana,other,0,100
2020-03-08,Indiana,Marion,0,1
2020-03-08,Montana,other,0,100
2020-03-08,Montana,Yellowstone,0,2
2020-03-08,Vermont,other,0,100
2020-03-08,Vermont,Chittenden,0,1
2020-03-08,Wyoming,Fremont,0,1
2020-03-08,Wyoming,other,0,100
2020-03-08,Arkansas,Jefferson,0,2
2020-03-08,Arkansas,Pulaski,0,1
2020-03-08,Colorado,other,0,5
2020-03-08,Colorado,Arapahoe,0,2
2020-03-08,Colorado,other,0,100
2020-03-08,Colorado,Denver,0,1
2020-03-08,Colorado,other,2,6
2020-03-08,Colorado,Jefferson,0,3
2020-03-08,Colorado,other,0,4
2020-03-08,Delaware,New Castle,0,1
2020-03-08,Illinois,Cook,0,1
2020-03-08,Illinois,other,0,100
2020-03-08,Kentucky,other,0,100
2020-03-08,Kentucky,Jefferson,0,1
2020-03-08,Maryland,other,0,5
2020-03-08,Maryland,Baltimore,0,3
2020-03-08,Maryland,other,0,100
2020-03-08,Maryland,Montgomery,0,1
2020-03-08,Maryland,Prince George's,0,2
2020-03-08,Michigan,other,0,100
2020-03-08,Michigan,Oakland,0,2
2020-03-08,Michigan,Wayne,0,1
2020-03-08,Michigan,Macomb,0,3
2020-03-08,Missouri,St. Louis,0,1
2020-03-08,Missouri,other,0,100
2020-03-08,Nebraska,other,0,100
2020-03-08,Nebraska,Douglas,0,2
2020-03-08,New York,New York City,1,1
2020-03-08,New York,other,1,100
2020-03-08,Oklahoma,Oklahoma,0,1
2020-03-08,Oklahoma,Tulsa,0,2
2020-03-08,Virginia,other,1,100
2020-03-08,Virginia,Arlington,0,3
