date,country,cases,deaths
2019-12-29,Afghanistan,0,0
2020-01-05,Afghanistan,0,0
2020-01-12,Afghanistan,0,0
2020-01-19,Afghanistan,0,0
2020-01-26,Afghanistan,0,0
2020-02-02,Afghanistan,0,0
2020-02-09,Afghanistan,0,0
2020-02-16,Afghanistan,0,0
2020-02-23,Afghanistan,1,0
2020-03-01,Afghanistan,0,0
2020-03-08,Afghanistan,6,0
2020-03-15,Afghanistan,17,0
2020-03-22,Afghanistan,67,2
2020-03-29,Afghanistan,144,2
2020-04-05,Afghanistan,286,11
2020-04-12,Afghanistan,324,15
2020-04-19,Afghanistan,506,13
2020-04-26,Afghanistan,984,25
2020-05-03,Afghanistan,1443,41
2020-05-10,Afghanistan,2624,59
2020-05-17,Afghanistan,2814,37
2020-05-24,Afghanistan,4443,41
2020-05-31,Afghanistan,5310,63
2020-06-07,Afghanistan,4577,137
2020-06-14,Afghanistan,4332,102
2020-06-21,Afghanistan,1603,70
2020-03-08,Albania,33,1
2020-03-15,Albania,37,1
2020-03-22,Albania,116,7
2020-03-29,Albania,118,8
2020-04-05,Albania,112,6
2020-04-12,Albania,123,3
2020-04-19,Albania,139,1
2020-04-26,Albania,104,4
2020-05-03,Albania,68,0
2020-05-10,Albania,66,0
2020-05-17,Albania,65,0
2020-05-24,Albania,118,2
2020-05-31,Albania,113,0
2020-06-07,Albania,204,3
2020-06-14,Albania,422,6
2020-06-21,Albania,354,7
2019-12-29,Algeria,0,0
2020-01-05,Algeria,0,0
2020-01-12,Algeria,0,0
2020-01-19,Algeria,0,0
2020-01-26,Algeria,0,0
2020-02-02,Algeria,0,0
2020-02-09,Algeria,0,0
2020-02-16,Algeria,0,0
2020-02-23,Algeria,1,0
2020-03-01,Algeria,16,0
2020-03-08,Algeria,9,2
2020-03-15,Algeria,76,8
2020-03-22,Algeria,307,16
2020-03-29,Algeria,762,79
2020-04-05,Algeria,590,151
2020-04-12,Algeria,657,108
2020-04-19,Algeria,709,51
2020-04-26,Algeria,1027,38
2020-05-03,Algeria,1215,35
2020-05-10,Algeria,1260,48
2020-05-17,Algeria,1289,46
2020-05-24,Algeria,1216,56
2020-05-31,Algeria,801,52
2020-06-07,Algeria,763,61
2020-06-14,Algeria,806,74
2020-06-21,Algeria,941,53
2020-03-01,Andorra,1,0
2020-03-08,Andorra,1,0
2020-03-15,Andorra,73,0
2020-03-22,Andorra,192,3
2020-03-29,Andorra,172,13
2020-04-05,Andorra,162,10
2020-04-12,Andorra,95,9
2020-04-19,Andorra,35,5
2020-04-26,Andorra,15,3
2020-05-03,Andorra,6,4
2020-05-10,Andorra,9,2
2020-05-17,Andorra,1,2
2020-05-24,Andorra,2,0
2020-05-31,Andorra,88,0
2020-06-07,Andorra,1,0
2020-06-14,Andorra,2,1
2020-06-21,Andorra,0,0
2020-03-22,Angola,4,0
2020-03-29,Angola,4,2
2020-04-05,Angola,11,0
2020-04-12,Angola,0,0
2020-04-19,Angola,6,0
2020-04-26,Angola,4,0
2020-05-03,Angola,14,0
2020-05-10,Angola,5,0
2020-05-17,Angola,12,1
2020-05-24,Angola,17,1
2020-05-31,Angola,9,0
2020-06-07,Angola,44,1
2020-06-14,Angola,36,3
2020-06-21,Angola,31,2
2020-03-22,Anguilla,2,0
2020-03-29,Anguilla,1,0
2020-04-05,Anguilla,0,0
2020-04-12,Anguilla,0,0
2020-04-19,Anguilla,0,0
2020-04-26,Anguilla,0,0
2020-05-03,Anguilla,0,0
2020-05-10,Anguilla,0,0
2020-05-17,Anguilla,0,0
2020-05-24,Anguilla,0,0
2020-05-31,Anguilla,0,0
2020-06-07,Anguilla,0,0
2020-06-14,Anguilla,0,0
2020-06-21,Anguilla,0,0
2020-03-15,Antigua_and_Barbuda,1,0
2020-03-22,Antigua_and_Barbuda,6,0
2020-03-29,Antigua_and_Barbuda,8,0
2020-04-05,Antigua_and_Barbuda,6,2
2020-04-12,Antigua_and_Barbuda,2,0
2020-04-19,Antigua_and_Barbuda,1,1
2020-04-26,Antigua_and_Barbuda,1,0
2020-05-03,Antigua_and_Barbuda,0,0
2020-05-10,Antigua_and_Barbuda,0,0
2020-05-17,Antigua_and_Barbuda,0,0
2020-05-24,Antigua_and_Barbuda,0,0
2020-05-31,Antigua_and_Barbuda,1,0
2020-06-07,Antigua_and_Barbuda,0,0
2020-06-14,Antigua_and_Barbuda,0,0
2020-06-21,Antigua_and_Barbuda,39,0
2020-03-01,Argentina,8,0
2020-03-08,Argentina,26,2
2020-03-15,Argentina,124,1
2020-03-22,Argentina,532,14
2020-03-29,Argentina,575,20
2020-04-05,Argentina,710,45
2020-04-12,Argentina,683,40
