date,state,accum_cases,daily_cases,accum_deaths,daily_deaths
2020-03-13,Alabama,6,6,0,0
2020-03-14,Alabama,12,6,0,0
2020-03-15,Alabama,23,11,0,0
2020-03-16,Alabama,29,6,0,0
2020-03-17,Alabama,39,10,0,0
2020-03-18,Alabama,51,12,0,0
2020-03-19,Alabama,78,27,0,0
2020-03-20,Alabama,106,28,0,0
2020-03-21,Alabama,131,25,0,0
2020-03-22,Alabama,157,26,0,0
2020-03-23,Alabama,196,39,0,0
2020-03-24,Alabama,242,46,0,0
2020-03-25,Alabama,386,144,1,1
2020-03-26,Alabama,538,152,3,2
2020-03-27,Alabama,639,101,4,1
2020-03-28,Alabama,720,81,4,0
2020-03-29,Alabama,830,110,5,1
2020-03-30,Alabama,947,117,11,6
2020-03-31,Alabama,999,52,14,3
2020-04-01,Alabama,1108,109,28,14
2020-04-02,Alabama,1270,162,32,4
2020-04-03,Alabama,1535,265,38,6
2020-04-04,Alabama,1632,97,44,6
2020-04-05,Alabama,1840,208,45,1
2020-04-06,Alabama,2005,165,53,8
2020-04-07,Alabama,2197,192,64,11
2020-04-08,Alabama,2498,301,67,3
2020-04-09,Alabama,2838,340,78,11
2020-04-10,Alabama,3008,170,80,2
2020-04-11,Alabama,3262,254,93,13
2020-04-12,Alabama,3583,321,93,0
2020-04-13,Alabama,3805,222,104,11
2020-04-14,Alabama,3953,148,114,10
2020-04-15,Alabama,4241,288,123,9
2020-04-16,Alabama,4404,163,137,14
2020-04-17,Alabama,4572,168,151,14
2020-04-18,Alabama,4723,151,147,-4
2020-04-19,Alabama,4903,180,160,13
2020-04-20,Alabama,5078,175,164,4
2020-04-21,Alabama,5327,249,186,22
2020-04-22,Alabama,5610,283,201,15
2020-04-23,Alabama,5832,222,197,-4
2020-04-24,Alabama,6026,194,209,12
2020-04-25,Alabama,6213,187,213,4
2020-04-26,Alabama,6421,208,219,6
2020-04-27,Alabama,6539,118,228,9
2020-04-28,Alabama,6750,211,242,14
2020-04-29,Alabama,6925,175,262,20
2020-04-30,Alabama,7068,143,272,10
2020-05-01,Alabama,7294,226,289,17
2020-05-02,Alabama,7611,317,288,-1
2020-05-03,Alabama,7888,277,290,2
2020-05-04,Alabama,8112,224,298,8
2020-05-05,Alabama,8437,325,315,17
2020-05-06,Alabama,8691,254,343,28
2020-05-07,Alabama,9046,355,369,26
2020-05-08,Alabama,9385,339,383,14
2020-05-09,Alabama,9668,283,390,7
2020-05-10,Alabama,9889,221,393,3
2020-05-11,Alabama,10164,275,403,10
2020-05-12,Alabama,10464,300,435,32
2020-05-13,Alabama,10700,236,450,15
2020-05-14,Alabama,11101,401,473,23
2020-05-15,Alabama,11373,272,483,10
2020-05-16,Alabama,11674,301,485,2
2020-05-17,Alabama,11771,97,488,3
2020-05-18,Alabama,12086,315,489,1
2020-05-19,Alabama,12376,290,504,15
2020-05-20,Alabama,13052,676,522,18
2020-05-21,Alabama,13414,362,529,7
2020-05-22,Alabama,13670,256,541,12
2020-05-23,Alabama,14149,479,549,8
2020-05-24,Alabama,14478,329,551,2
2020-05-25,Alabama,14986,508,566,15
2020-05-26,Alabama,15650,664,580,14
2020-05-27,Alabama,16032,382,583,3
2020-05-28,Alabama,16530,498,591,8
2020-05-29,Alabama,17031,501,610,19
2020-05-30,Alabama,17359,328,618,8
2020-05-31,Alabama,17952,593,630,12
2020-06-01,Alabama,18534,582,646,16
2020-06-02,Alabama,18771,237,653,7
2020-06-03,Alabama,18851,80,653,0
2020-06-04,Alabama,19072,221,653,0
2020-06-05,Alabama,19387,315,676,23
2020-06-06,Alabama,20043,656,689,13
2020-06-07,Alabama,20500,457,692,3
2020-06-08,Alabama,20925,425,718,26
2020-06-09,Alabama,21422,497,729,11
2020-06-10,Alabama,21989,567,744,15
2020-06-11,Alabama,22845,856,755,11
2020-06-12,Alabama,23710,865,769,14
2020-06-13,Alabama,24601,891,773,4
2020-06-14,Alabama,25615,1014,773,0
2020-06-15,Alabama,26272,657,774,1
2020-06-16,Alabama,26912,640,785,11
2020-06-17,Alabama,27312,400,790,5
2020-06-18,Alabama,28206,894,810,20
2020-06-19,Alabama,29002,796,822,12
2020-06-20,Alabama,29549,547,838,16
2020-06-21,Alabama,30021,472,839,1
